Subject,pp1.1,pp1.2,pp1.3,pp1.4,pp1.5,pp1.6,pp1.7,pp1.8,pp1.9,pp1.10,pp2.1,pp2.2,pp2.3,pp2.4,pp2.5,pp2.6,pp2.7,pp2.8,pp2.9,pp2.10
1,a,d,b,d,b,e,e,c,,,c,b,a,e,b,a,e,d,,
2,a,d,b,d,b,e,a,c,e,e,c,b,a,e,e,a,e,d,d,d
3,a,d,b,d,b,e,a,c,b,e,,,,,,,,,,
4,a,d,a,d,d,c,b,b,e,e,c,b,d,d,c,a,e,b,c,d
5,a,d,b,a,b,e,b,c,,,c,b,a,e,e,a,e,c,a,
6,a,d,b,b,b,e,,,,,c,b,a,e,b,a,e,b,b,a
7,a,,e,d,c,d,,c,d,d,c,b,a,e,e,a,d,b,d,a
8,a,c,d,d,b,e,d,,,,c,b,b,e,b,a,b,,,
9,a,d,b,d,b,e,a,c,e,d,c,b,a,e,b,a,e,d,d,c
10,a,d,d,d,b,e,b,b,d,b,c,b,a,e,b,d,e,d,b,b
11,a,d,c,,b,,,,,,c,a,a,,,,e,,e,
12,a,d,b,d,a,e,a,c,e,e,c,b,a,e,e,a,e,d,d,d
13,a,d,e,a,b,e,c,b,d,b,c,b,b,e,e,a,e,a,d,d
14,a,d,,d,c,e,d,e,c,b,c,b,d,e,,a,d,d,b,a
15,a,a,c,b,b,e,d,c,,e,c,b,c,b,b,b,e,,d,a
16,a,a,b,d,b,d,b,d,e,b,e,c,d,b,b,c,d,a,e,c
17,a,d,b,d,b,e,a,c,e,e,c,b,a,e,b,a,e,d,d,c
18,a,d,,e,a,e,b,,,,c,b,a,b,,a,e,,,
19,a,d,b,,b,e,,,,,c,b,a,e,,a,e,,d,
20,a,d,b,e,a,,,,d,,c,b,a,e,,a,e,,,
21,a,c,b,d,b,e,d,c,,,c,b,a,e,,a,e,,d,
22,a,b,e,d,b,,,,b,e,c,e,a,a,e,a,b,c,b,a
23,a,c,c,d,b,e,a,c,,d,c,b,a,e,e,a,d,c,d,a
24,a,c,b,d,b,e,e,c,e,e,c,b,a,e,e,a,d,e,d,c
25,a,d,,c,b,e,d,,,,c,b,,e,b,,,,,
26,a,d,b,d,b,e,e,,,,c,b,a,e,e,a,e,,,
27,a,d,b,d,b,e,,c,,e,c,b,a,,b,a,e,,d,
28,a,e,b,c,a,e,e,c,d,e,c,b,a,e,e,a,e,c,d,b
29,a,a,c,d,b,e,b,c,c,b,c,b,a,e,b,a,d,c,b,a
30,a,d,b,d,b,e,e,c,,,c,b,a,e,e,a,e,c,d,
31,a,d,,d,b,e,c,b,a,e,,,e,,,,,,,
32,a,a,d,d,a,d,b,c,c,d,c,a,a,c,b,b,d,c,b,e
33,a,d,b,d,b,e,b,c,b,c,c,b,a,e,e,a,e,c,d,c
34,a,d,b,d,b,e,a,c,,e,c,b,a,e,b,a,a,c,d,b
35,a,d,a,a,a,e,b,,,,c,e,a,d,,,e,,,
36,a,a,d,d,b,d,c,c,d,e,c,b,a,e,a,a,b,b,b,b
37,a,d,e,c,b,e,,,,e,c,c,a,d,c,a,d,a,,
38,a,d,b,d,b,e,a,c,c,d,c,b,a,e,b,a,e,c,d,a
39,a,d,b,d,b,e,c,c,b,e,c,b,a,e,e,a,e,d,d,d
40,a,d,b,d,b,e,a,c,,,c,b,a,e,e,a,e,c,d,e
41,a,d,b,d,,,,,,,c,e,a,e,a,a,d,,,
42,a,d,b,d,b,e,a,c,,,c,b,a,e,e,a,e,,d,c
43,a,d,b,d,b,e,a,c,e,e,c,b,a,e,e,a,e,d,d,c
44,a,d,b,d,b,e,b,c,b,e,c,b,a,e,e,a,e,d,d,d
45,a,d,b,d,b,e,a,c,,e,c,b,a,b,b,a,e,d,a,d
46,a,d,b,d,a,e,a,,e,,c,b,a,e,e,a,e,,d,c
47,a,d,b,a,a,e,a,c,a,,c,b,a,e,e,a,e,a,d,a
