SubjectID,pp1.1,pp1.2,pp1.3,pp1.4,pp1.5,pp1.6,pp1.7,pp1.8,pp1.9,pp1.10,pp2.1,pp2.2,pp2.3,pp2.4,pp2.5,pp2.6,pp2.7,pp2.8,pp2.9,pp2.10
101,a,d,,d,c,e,,,,e,c,b,a,e,b,a,b,,,
102,a,d,b,d,b,e,e,c,d,,c,b,a,e,e,a,e,d,d,c
103,a,d,b,c,a,e,,c,,c,c,b,a,e,e,a,e,,c,d
104,,,,,,,,,,,,,,,,,,,,
105,a,d,d,d,b,e,a,c,b,b,c,b,a,a,b,a,e,d,d,b
106,a,a,e,b,c,a,d,d,c,c,c,e,a,e,a,d,e,a,,
107,c,c,b,c,b,e,a,d,b,e,c,b,a,c,e,a,d,a,a,b
108,a,d,b,,b,e,e,,,,c,b,a,e,e,a,e,,a,a
109,a,d,d,,b,e,,c,,e,c,b,a,e,e,a,e,,d,
110,a,b,d,d,b,c,,,d,e,c,b,a,e,e,a,b,c,d,a
111,a,d,b,d,b,e,a,c,e,,c,b,a,e,e,a,e,e,,
112,a,d,b,d,b,e,a,c,d,,c,b,a,b,b,a,e,c,d,a
113,a,d,b,,,,,,,,c,b,a,e,b,a,e,,d,
114,a,c,b,d,b,e,a,c,d,e,c,b,a,e,e,a,d,b,a,a
115,a,,d,d,c,e,c,a,b,a,c,e,a,e,e,e,b,e,c,d
116,a,c,e,d,b,e,d,c,d,e,c,b,a,e,b,a,e,,d,a
117,a,b,c,a,a,e,b,e,b,e,c,c,a,b,c,a,b,c,d,b
118,a,d,,,b,e,c,c,,,c,a,a,e,b,c,,,,
119,a,d,,b,b,e,d,,,,c,b,c,e,,,e,c,d,b
120,a,d,b,d,b,e,,,,,c,b,a,e,e,a,e,c,d,d
121,a,d,b,d,b,e,d,c,,,c,b,a,e,b,a,e,d,d,
122,a,b,e,a,d,e,c,e,d,a,c,d,a,c,d,c,e,,e,
123,a,d,b,d,b,e,a,c,e,e,c,b,a,e,b,e,e,d,d,b
124,a,b,b,d,b,e,a,c,,,c,b,a,e,b,e,e,c,d,c
125,a,d,b,d,b,e,a,c,e,e,c,b,a,e,a,a,e,,,d
126,a,d,e,a,b,e,d,a,,,c,b,a,e,e,a,a,,d,d
127,a,a,d,b,b,c,a,a,d,e,c,b,a,e,d,d,e,c,a,b
128,a,d,b,,b,,,,,,c,,a,e,,e,b,,,
129,a,a,b,d,a,d,b,e,d,e,c,b,a,e,b,b,b,c,b,b
130,a,d,b,d,b,e,a,c,,e,c,b,a,e,b,a,e,c,d,d
131,a,d,c,d,a,e,d,,,,c,b,a,e,b,d,e,,a,a
132,a,d,b,,b,e,a,,,,c,b,a,e,b,a,e,,d,b
133,a,d,c,d,b,e,a,c,b,c,c,b,a,e,b,a,e,b,d,
134,a,d,a,d,b,e,e,c,,e,c,b,a,,b,a,a,,d,
135,a,d,b,d,b,e,a,c,,,c,b,a,e,b,a,e,,,
136,a,d,b,d,b,e,d,c,,e,c,b,a,e,e,a,e,c,d,c
137,a,d,b,d,b,e,d,c,b,e,c,e,a,e,,c,b,c,d,a
138,a,b,d,a,d,e,c,a,d,e,c,a,a,b,a,a,e,a,b,c
139,a,d,c,d,b,e,,c,,e,c,b,a,e,,a,e,b,d,
140,a,d,b,d,b,e,a,c,b,e,c,b,a,e,e,a,e,c,d,a
141,a,d,b,c,b,e,,c,,e,c,b,a,e,b,a,e,,e,d
142,a,d,b,d,c,e,e,c,,e,c,b,a,e,b,a,e,,d,e
143,a,d,b,d,b,e,a,c,,e,c,b,c,e,b,a,e,,d,
144,a,d,e,d,b,d,e,c,b,e,b,b,a,e,e,a,e,d,c,d
145,a,d,,d,b,e,,c,,,c,b,a,c,a,d,e,c,d,
146,a,d,b,d,b,e,d,c,e,e,c,b,a,e,b,a,e,d,d,c
147,a,c,b,d,a,e,b,c,a,e,c,b,a,b,a,a,e,,,
148,a,b,c,d,,c,,c,d,c,c,c,c,c,a,a,d,b,d,c
149,a,a,b,,b,e,,,,,c,b,a,e,b,a,e,,,
150,a,d,b,d,b,,,,,,c,b,a,e,a,a,d,c,,
151,a,d,b,d,b,e,,,,,c,b,a,e,e,a,e,,d,
152,a,d,b,d,b,e,a,c,e,e,c,b,a,e,b,a,e,d,d,c
153,a,d,b,c,b,e,a,c,,,c,b,a,e,e,a,e,,d,
154,a,d,b,b,,,,,,,c,b,a,e,b,a,e,,d,
155,a,d,b,d,b,e,a,c,e,,c,b,a,e,b,a,e,c,d,
156,a,d,b,d,b,e,a,c,,,c,b,a,e,e,a,e,,d,c
157,a,d,b,d,b,e,a,c,d,e,c,b,a,e,b,a,e,a,d,c
158,a,a,b,d,c,e,a,a,b,d,c,b,b,e,e,e,e,d,d,a
159,a,d,c,,,e,,,,e,c,b,a,e,,a,b,c,,
160,a,d,b,a,b,,,,,,c,b,a,c,e,a,e,,,c
161,a,c,e,d,b,e,b,c,a,e,c,b,a,e,b,a,a,c,c,d
