Subject,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,cc11,cc12,cc13,cc14,cc15,cc16,cc17,cc18,cc19,cc20,cc21,cc22,cc23,cc24,cc25,cc26,cc27,cc28,cc29,cc30,cc31,cc32,cc33,cc34,cc35,cc36,cc37,cc38,cc39,cc40,cc41,cc42
1,s,d,d,s,d,s,d,s,s,d,d,s,s,d,,,,,,,,s,d,s,s,d,s,s,d,s,d,d,s,,,,,,,,,
2,s,d,s,s,d,s,s,s,s,d,d,s,s,s,s,s,s,d,s,d,d,s,,s,s,d,s,d,d,d,d,d,s,,,,,,,,,
3,d,d,d,s,d,s,s,s,s,d,d,s,s,s,d,s,s,s,d,d,d,s,d,s,s,d,s,s,d,s,d,s,s,s,d,s,d,,,,,
4,s,s,d,d,s,d,s,d,d,s,d,s,d,d,,,,,,,,d,s,d,d,s,s,d,s,s,d,s,s,d,d,s,s,,,,,
5,d,d,d,d,d,s,s,d,d,d,d,s,s,s,s,s,s,d,d,d,,s,d,s,d,d,d,s,d,s,d,d,d,d,d,s,d,d,d,s,d,s
6,d,d,d,d,d,s,d,s,s,d,d,s,d,,,,,,,,,s,d,s,s,d,s,s,d,d,d,d,d,d,d,d,,,,,,
7,d,d,d,d,d,d,d,s,s,d,d,d,s,s,s,,,,,,,d,d,s,d,d,d,s,d,s,d,s,s,s,d,s,d,,d,,,
8,s,d,s,s,d,s,s,s,s,d,d,s,s,d,d,,,,,,,d,d,s,s,d,s,d,d,s,d,s,s,d,d,s,d,s,s,s,,
9,d,d,d,s,d,s,s,s,s,d,d,s,s,s,s,s,s,d,s,d,d,s,d,s,s,d,s,s,d,s,d,d,s,d,d,s,d,d,d,s,,
10,d,d,d,d,s,s,s,d,d,s,d,d,s,d,s,s,s,d,d,d,d,d,d,s,d,d,d,d,d,s,s,d,,,s,d,s,d,d,s,d,s
11,d,d,s,d,d,s,s,s,d,,,,,,,,,,,,,s,,s,,,,s,d,d,,,,d,,,d,,d,,s,d
12,d,d,s,d,d,s,d,s,s,d,d,s,d,s,s,s,s,,,,,s,d,d,s,d,s,s,d,d,d,d,d,d,d,s,d,d,s,d,d,d
13,d,d,d,s,s,d,s,s,d,d,s,d,s,s,s,s,s,d,d,s,d,d,d,d,d,s,d,s,d,d,d,d,d,d,d,s,d,s,s,d,d,s
14,d,d,d,d,d,s,s,s,s,d,d,s,s,s,s,s,s,d,d,d,d,d,d,s,s,d,s,s,d,d,d,d,s,d,d,s,d,d,s,s,s,d
15,d,d,s,d,d,d,s,s,s,d,s,d,s,s,d,s,s,d,d,,,s,d,d,s,d,s,s,d,d,d,d,s,s,d,s,d,d,d,s,d,d
16,d,d,s,s,d,d,s,s,s,d,d,d,d,s,s,s,d,d,d,d,s,s,d,s,s,d,d,s,s,d,s,d,s,s,s,d,d,d,s,s,s,s
17,s,d,d,s,s,s,s,s,s,d,d,s,d,,,,,,,,,s,d,s,s,d,s,s,s,s,s,d,s,d,d,s,d,,,,,
18,d,d,,d,d,,d,d,s,d,s,,,s,,,,,,,,,d,s,,d,,s,d,,d,s,,s,d,s,d,,,,,
19,,d,,d,d,,s,s,d,d,,,,,,,,,,,,d,,d,,d,s,s,d,d,d,,,d,d,,d,d,d,,,
20,d,d,d,d,d,s,s,d,d,d,,,,,,,,,,,,d,,d,d,d,d,s,d,d,d,d,d,d,,,,,,,,
21,d,d,s,d,d,s,s,s,s,d,d,s,d,s,s,,,,,,,s,d,s,s,d,s,s,d,d,d,d,d,d,d,s,d,d,d,s,d,d
22,d,d,d,s,d,d,s,s,s,d,d,d,,s,d,d,s,d,d,d,s,d,d,s,d,d,s,s,d,d,d,d,d,d,d,d,d,d,d,d,d,d
23,d,d,d,s,d,s,s,s,s,d,d,s,s,s,s,s,s,d,d,d,s,s,d,s,s,d,s,s,d,s,s,s,s,d,d,s,d,d,d,s,s,d
24,d,s,d,s,d,s,s,s,s,d,s,s,s,d,d,s,s,s,d,,,s,d,s,s,d,s,s,d,s,d,s,d,d,d,s,d,d,d,s,s,d
25,d,d,,d,d,s,s,d,d,d,,,d,,d,s,s,d,d,d,,d,d,d,,,d,s,d,d,,s,s,d,d,,,d,,,,
26,d,s,d,s,s,d,s,s,s,d,s,d,d,s,,,,,,,,d,d,s,d,d,d,d,d,s,d,d,d,d,,,,,,,,
27,d,d,d,s,d,s,s,s,s,d,d,d,s,s,s,,,,,,,d,d,d,s,d,s,,d,s,,,,,d,,,,,,,
28,d,d,d,d,s,s,s,s,d,d,d,s,s,s,d,s,s,d,d,d,s,,,,,,,,,,,,,,,,,,,,,
