SubjectID,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,cc11,cc12,cc13,cc14,cc15,cc16,cc17,cc18,cc19,cc20,cc21,cc22,cc23,cc24,cc25,cc26,cc27,cc28,cc29,cc30,cc31,cc32,cc33,cc34,cc35,cc36,cc37,cc38,cc39,cc40,cc41,cc42
101,d,d,d,d,d,s,,s,s,,d,s,,s,s,,,d,,,d,d,d,s,s,d,s,s,d,s,d,d,s,d,d,s,,d,d,s,d,d
102,d,d,d,s,d,s,s,s,s,d,d,s,d,s,s,s,s,d,d,d,d,s,d,s,s,s,s,s,d,s,d,d,s,d,d,s,d,s,d,s,d,d
103,d,d,d,s,d,s,s,s,s,d,d,s,,,,,,,,,,s,d,s,s,d,s,s,d,s,s,,,d,,,d,,d,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,d,s,d,d,d,d,d,d,d,d,d,s,,,,,,,,,,s,d,d,s,s,d,d,d,d,d,d,d,s,d,d,d,d,d,s,s,d
106,d,d,d,d,d,s,d,s,s,d,s,s,d,s,s,s,d,d,d,d,s,d,d,s,d,d,s,s,d,s,d,d,s,d,d,d,s,d,s,,,
107,s,d,s,s,s,s,d,d,s,s,d,s,s,s,s,d,s,d,d,d,s,s,s,s,s,d,s,s,d,d,d,d,s,d,d,s,d,s,d,s,s,d
108,d,d,d,d,s,s,s,s,s,d,d,d,d,s,s,s,s,d,d,,,s,d,s,,d,s,s,d,s,d,,d,d,d,s,d,d,d,s,s,d
109,d,d,d,s,s,d,d,d,s,d,s,d,s,,,,,,,,,d,d,s,d,d,d,d,d,s,s,d,d,d,,,,,d,s,d,d
110,d,d,s,s,s,s,s,s,d,d,d,s,s,s,,,,,,,,s,d,s,s,d,s,s,d,s,s,d,s,d,d,s,d,,,,,
111,d,d,d,s,d,s,s,s,s,d,d,s,s,s,d,,,,,,,s,d,s,s,d,s,s,d,s,d,d,d,d,d,s,d,d,d,s,s,d
112,d,d,d,d,d,s,s,s,s,d,d,d,s,s,s,,,,,,,s,s,s,s,d,s,s,d,s,s,s,s,d,d,s,d,d,d,s,,
113,d,d,,s,d,s,s,s,,,,,,,,,,,,,,d,d,,,d,s,,,d,d,d,d,,d,,,,,,,
