SubjectID,vr01,vr02,vr03,vr04,vr05,vr06,vr07,vr08,vr09,vr10,vr11,vr12,vr13,vr14,vr15,vr16,vr17,vr18,vr19,vr20,vr21,vr22,vr23,vr24,vr25,vr26,vr27,vr28,vr29,vr30,vr31,vr32,vr33,vr34,vr35,vr36,vr37,vr38,vr39,vr40
101,a,h,c,f,c,k,c,g,b,j,a,g,e,g,d,j,b,f,b,k,a,g,e,j,c,k,c,g,c,h,d,k,b,k,d,j,c,j,e,f
102,a,h,c,f,c,k,c,g,b,j,a,g,e,f,d,j,e,j,b,k,a,g,e,j,c,g,c,g,c,h,d,g,b,k,a,j,c,j,d,f
103,a,h,c,f,c,k,b,g,b,j,a,g,e,h,d,j,e,j,b,k,a,g,e,j,c,k,c,g,c,h,d,g,b,k,d,j,c,g,c,f
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,a,h,c,f,a,k,c,h,b,f,d,g,d,h,a,j,e,j,b,k,a,g,d,j,a,k,d,,,,,,,,,,,,,
106,a,h,c,k,a,h,c,h,a,j,e,g,e,g,d,j,e,j,b,h,e,g,b,j,c,j,c,f,c,h,a,j,b,k,c,j,c,f,e,f
107,a,h,c,f,c,h,a,g,b,j,a,g,b,f,d,j,e,j,b,h,a,g,e,j,c,k,e,g,c,h,d,g,b,k,a,j,c,f,e,f
108,a,h,c,f,c,k,c,g,a,j,a,g,e,f,d,j,e,h,b,k,a,g,e,j,c,k,e,g,c,h,d,g,b,k,c,j,c,j,,
109,a,h,c,f,c,k,c,g,a,j,e,g,e,j,d,j,b,j,b,k,a,g,e,j,c,k,c,g,c,h,a,g,b,k,c,j,c,f,e,f
110,a,h,c,f,c,k,c,g,b,j,a,g,e,g,d,j,e,j,b,k,e,g,e,j,c,k,c,g,,h,d,g,b,k,a,j,c,j,,
111,a,g,c,f,c,k,a,g,b,h,a,g,e,g,d,j,e,j,b,k,a,g,a,j,c,k,c,g,c,f,d,,b,k,e,j,c,f,e,f
112,a,f,c,f,c,k,c,g,b,h,c,g,e,f,d,j,e,h,b,k,e,g,a,j,c,k,d,h,c,f,d,g,b,k,c,h,c,j,c,f
113,a,h,c,f,,k,c,g,b,,,g,e,g,d,j,e,j,b,k,b,h,e,j,c,k,c,g,,,,,,,,,,,,
114,a,h,b,f,c,k,c,g,b,j,a,g,e,g,d,g,e,j,b,k,a,g,e,j,c,k,c,g,c,h,d,g,b,k,a,j,c,,c,k
115,,,a,f,a,g,a,h,b,g,c,f,c,g,d,g,a,g,e,j,e,g,d,g,b,g,b,g,a,f,d,j,b,j,,g,b,g,a,k
116,a,h,c,f,c,k,,g,b,,c,g,,,a,j,e,j,b,g,a,g,a,j,c,k,d,j,,f,d,,,k,a,h,c,,e,
117,a,h,d,f,c,k,c,g,b,j,a,g,e,g,d,j,b,j,b,k,a,g,e,j,c,k,c,j,c,f,d,f,b,k,a,j,c,j,e,f
118,a,h,c,f,e,k,a,g,b,h,a,g,e,g,b,g,e,h,b,h,a,g,b,j,c,k,c,f,b,f,d,g,b,j,a,j,c,g,e,f
119,a,h,c,k,b,k,a,g,b,j,b,g,e,k,d,j,a,j,b,k,a,g,b,j,,,,,,,,,,,,,,,,
120,a,h,c,f,c,k,a,g,b,j,a,g,e,f,b,j,e,j,b,k,a,g,e,j,c,k,c,h,c,h,d,g,b,k,a,j,a,g,c,f
121,a,h,c,f,c,k,c,g,b,j,a,g,e,f,d,j,b,j,b,k,d,g,e,j,c,k,c,g,c,h,d,g,b,k,c,j,c,j,e,f
122,a,h,c,f,c,k,b,g,b,f,a,g,e,g,d,j,e,h,b,k,a,g,a,j,c,k,e,f,c,h,d,g,b,k,e,j,a,f,e,f
123,a,h,c,k,d,h,c,g,b,j,c,g,e,f,a,j,e,j,a,k,e,g,e,j,d,k,c,g,b,h,d,g,b,k,e,f,c,f,e,f
124,e,h,b,g,b,g,b,g,d,j,b,g,b,k,a,h,d,j,b,j,e,g,d,j,c,k,e,g,b,k,b,h,a,k,b,h,c,g,c,k
125,a,h,c,f,c,k,,g,b,j,a,g,e,g,d,j,b,j,b,k,a,g,e,j,c,k,c,g,c,h,,g,b,k,d,j,c,j,c,f
126,a,h,c,k,,k,c,g,b,j,,g,,f,d,j,e,j,b,k,a,g,b,j,a,k,,f,,h,b,f,b,k,c,,,,,
127,a,h,c,k,d,h,c,g,b,j,a,k,e,h,a,j,b,f,b,k,a,g,e,h,c,k,c,j,c,h,e,h,b,k,a,f,a,g,d,f
128,a,h,c,f,d,k,a,g,b,j,a,f,e,f,d,j,e,j,b,k,e,g,b,j,c,k,d,f,c,,,,,,,,,,,
129,a,h,c,f,c,k,c,h,a,j,a,g,e,g,a,j,b,j,b,h,e,g,e,j,c,k,e,g,c,h,e,g,b,k,b,j,c,j,c,f
130,c,h,c,k,,k,a,h,,j,,,,,d,,,j,a,j,,g,e,j,c,k,,g,c,,b,g,,g,c,j,a,j,e,f
131,a,h,c,f,c,k,a,g,b,j,a,g,e,g,a,j,e,j,b,k,a,g,e,j,c,k,c,g,c,h,d,g,b,k,e,j,c,f,c,f
132,a,h,c,f,,k,,g,b,j,a,g,e,g,d,j,e,j,b,k,a,g,b,j,c,k,,g,c,h,,g,,,c,j,c,,c,f
133,a,g,c,f,d,g,c,g,b,j,a,g,e,f,d,j,b,j,b,k,b,g,b,k,c,k,c,g,c,f,e,g,b,k,e,j,c,j,d,f
134,a,,c,f,c,k,,g,a,j,a,g,,,d,j,e,h,b,k,,g,a,j,c,k,c,g,c,,d,g,b,k,e,,c,,c,f
135,a,g,c,f,c,k,c,g,b,j,a,g,d,f,d,j,e,j,b,h,a,g,e,j,c,k,c,g,b,h,d,g,b,k,a,j,c,h,e,f
136,a,h,d,f,c,k,b,g,b,j,e,g,e,f,d,g,e,j,b,h,a,f,b,j,a,k,c,h,c,f,d,g,b,k,b,j,c,g,c,f
137,a,f,c,f,c,k,c,g,b,j,a,g,e,g,d,j,e,j,b,k,a,g,e,j,c,k,e,g,c,h,d,g,b,k,a,j,c,j,c,f
138,a,g,c,f,d,k,c,g,b,h,a,g,e,g,a,j,a,j,b,f,e,j,a,j,c,k,c,h,c,g,a,g,b,k,a,j,a,f,e,f
139,a,h,c,f,c,g,a,h,a,j,e,g,e,g,a,f,e,j,b,k,a,g,a,j,c,k,c,f,c,h,d,g,,,,,,,,
140,a,h,,f,d,h,c,g,b,j,e,g,b,h,a,f,e,h,b,h,a,g,e,f,c,k,c,f,b,f,a,f,a,k,a,j,c,,e,f
141,a,h,c,f,c,k,c,g,b,j,a,g,e,g,d,j,e,j,b,k,a,g,b,j,c,k,c,g,c,h,d,g,b,k,c,j,c,j,e,f
142,a,h,c,f,c,k,c,g,b,j,b,g,e,g,d,j,e,j,b,k,a,g,e,j,c,k,c,g,c,h,,g,b,,a,j,,,e,f
143,a,h,c,f,a,k,a,g,b,j,b,g,d,g,d,j,e,j,b,f,e,g,b,j,e,k,e,g,c,h,b,g,a,k,c,j,c,j,e,f
144,a,g,c,g,d,g,e,g,c,j,c,k,a,k,a,j,b,k,b,g,e,g,b,h,c,f,a,f,b,f,b,j,d,j,b,f,c,h,c,k
145,c,h,c,f,c,k,c,g,b,j,a,g,e,g,d,j,e,j,b,k,a,g,e,j,c,k,c,g,c,h,d,g,b,k,d,j,c,j,,
146,a,h,c,f,a,k,c,g,b,j,a,g,e,f,c,j,e,j,b,k,a,g,e,j,c,k,c,g,b,h,d,f,b,k,c,g,c,f,e,f
147,a,h,c,f,a,g,a,g,a,j,b,g,e,g,d,g,b,k,b,k,a,g,b,j,c,k,a,f,b,h,a,g,d,f,a,j,c,j,c,f
148,a,h,c,f,d,k,a,g,b,j,e,g,,g,a,j,e,j,a,k,b,g,a,j,c,f,e,f,b,j,e,g,b,k,a,j,c,h,e,f
149,a,h,c,h,c,k,e,g,b,j,a,g,e,g,d,j,e,j,b,k,a,g,a,j,c,k,c,h,c,h,d,g,b,k,d,j,c,j,e,f
