subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
113;19;f;r;n;n;n;1;series1c;0;1;60;0;5;2;8;as;ic;0;1;0;1;1.1045126878;CGLS;-99;-99;2d_8u_as_c_s_e.png;2d_8u_as_c_d_e.png;209.08524127;1
113;19;f;r;n;n;n;1;series1c;1;0;10;0;3;2;8;sym;c;0;1;0;0;0.740956718597;KJHM;-99;-99;2d_8u_sym_ic_s_c.png;2d_8u_sym_ic_s_c.png;218.377561461;1
113;19;f;r;n;n;n;1;series1c;2;1;60;0;1;2;8;as;ic;0;1;0;1;1.61533851345;WRXG;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_d_a.png;231.506909021;1
113;19;f;r;n;n;n;1;series1c;3;1;-60;0;4;2;8;sym;c;0;9;0;0;2.07155720142;VTDL;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;243.501839931;1
113;19;f;r;n;n;n;1;series1c;4;1;-10;0;9;2;8;as;ic;0;9;0;0;2.25053923615;VDPT;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;253.778320246;1
113;19;f;r;n;n;n;1;series1c;5;1;-120;0;6;2;8;sym;ic;0;9;0;0;1.52169872692;YDSG;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_d_f.png;264.20520898;1
113;19;f;r;n;n;n;1;series1c;6;0;-10;0;1;2;8;sym;ic;0;-1;1;-99999;-1;ZQWD;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_s_a.png;311.250700232;1
113;19;f;r;n;n;n;1;series1c;7;0;-120;0;8;2;8;as;ic;0;9;0;1;1.30533837408;KMGD;-99;-99;2d_8u_as_c_s_h.png;2d_8u_as_c_s_h.png;321.076886559;1
113;19;f;r;n;n;n;1;series1c;8;1;120;0;2;2;8;as;ic;0;9;0;0;2.9402924832;BMJT;-99;-99;2d_8u_as_c_s_b.png;2d_8u_as_c_d_b.png;332.804891085;1
113;19;f;r;n;n;n;1;series1c;9;1;10;0;3;2;8;as;ic;0;1;0;1;0.65907730101;NFBC;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;341.096669977;1
113;19;f;r;n;n;n;1;series1c;10;1;10;0;7;2;8;as;c;0;1;0;1;1.2045974239;XSLQ;KXLQ;0;2d_8u_as_c_s_g.png;2d_8u_as_c_d_g.png;358.079571717;1
113;19;f;r;n;n;n;1;series1c;11;0;10;0;10;2;8;as;ic;0;1;0;0;2.90506883422;LXNZ;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_s_j.png;371.158652198;1
113;19;f;r;n;n;n;1;series1c;12;1;120;0;6;2;8;as;c;0;9;0;0;0.945994747453;MFKZ;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_d_f.png;379.91714323;1
113;19;f;r;n;n;n;1;series1c;13;0;60;0;7;2;8;as;ic;0;1;0;0;1.76200335589;PTQC;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_s_g.png;391.878577355;1
113;19;f;r;n;n;n;1;series1c;14;0;10;0;1;2;8;as;c;0;9;0;1;0.985396890057;DYXR;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_s_a.png;401.287809181;1
113;19;f;r;n;n;n;1;series1c;15;1;120;0;1;2;8;sym;ic;0;1;0;1;2.11355945366;YGVS;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;411.781164124;1
113;19;f;r;n;n;n;1;series1c;16;0;-10;0;5;2;8;sym;ic;0;9;0;1;2.07474468951;PHGW;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_s_e.png;421.891309672;1
113;19;f;r;n;n;n;1;series1c;17;1;120;0;10;2;8;as;ic;0;-1;1;-99999;-1;TZXD;TZXD;1;2d_8u_as_c_s_j.png;2d_8u_as_c_d_j.png;438.857766238;1
113;19;f;r;n;n;n;1;series1c;18;0;60;0;9;2;8;as;ic;0;9;0;1;2.3870596404;GCPN;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_s_i.png;448.967293687;1
113;19;f;r;n;n;n;1;series1c;19;1;-60;0;3;2;8;as;c;0;-1;1;-99999;-1;SYBD;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;459.777626769;1
113;19;f;r;n;n;n;1;series1c;20;1;120;0;2;2;8;sym;c;0;1;0;1;1.34586464241;LNRM;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_d_b.png;467.885520936;1
113;19;f;r;n;n;n;1;series1c;21;1;-10;0;8;2;8;as;ic;0;9;0;0;1.32712655884;FRZC;-99;-99;2d_8u_as_c_s_h.png;2d_8u_as_c_d_h.png;476.727510446;1
113;19;f;r;n;n;n;1;series1c;22;1;-60;0;10;2;8;as;ic;0;9;0;0;1.26743753094;LKFJ;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_d_j.png;486.153292974;1
113;19;f;r;n;n;n;1;series1c;23;1;-120;0;4;2;8;as;c;0;9;0;0;1.5115002442;FJSK;-99;-99;2d_8u_as_c_s_d.png;2d_8u_as_c_d_d.png;495.478990198;1
113;19;f;r;n;n;n;1;series1c;24;1;-60;0;4;2;8;sym;ic;0;1;0;1;0.555541965412;FMDW;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;503.420013989;1
113;19;f;r;n;n;n;1;series1c;25;1;-10;0;5;2;8;sym;ic;0;1;0;1;2.08058434058;CGKH;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_d_e.png;512.829087379;1
